,count,mean,std,min,25%,50%,75%,max
10YR_USA,707.0,2.3839547343267578,0.8957146343673915,0.5360000133514404,1.7649999856948853,2.2730000019073486,2.871000051498413,4.923999786376953
BTC_Supply,707.0,15305514.378536068,3969753.3417720776,4905800.0,12735100.0,16581687.5,18623850.0,19718384.375
BTC_USD,707.0,12225.823234087695,17595.698577917632,0.24,244.325,3648.05,18668.89,69903.72
BalanceSheet_FED,707.0,5195896.103253182,2035538.7348460753,2385754.0,3927074.5,4461117.0,7334388.5,8965487.0
BalanceSheet_global,707.0,17281.27495558699,3650.1388858656164,11775.3249,14450.734349999999,16529.0429,20619.328800000003,23509.581
Bitcoin_Wikipedia_Search,707.0,56724.89957567185,98968.37953664946,1558.0,22783.5,35018.0,54184.5,2027765.0
Dollar_Index,707.0,92.54478082292657,9.119754281363967,72.93000030517578,82.59000015258789,94.80999755859376,98.5250015258789,113.30999755859376
GLD,707.0,145.23687398821494,26.951141968729242,101.25,121.21500015258788,140.4600067138672,167.62999725341797,223.66000366210932
HashRate,707.0,93272902.99929625,146743830.31043583,0.1043216005281227,61350.35612855747,7948423.993960395,134498170.95792237,650294638.6443603
M2_Liquidity,707.0,14767.056435643563,4217.859888596053,8789.4,11289.75,13711.2,19409.35,22048.8
Miners_Revenue_USD,707.0,94841139.96535942,113930789.54334043,15629.7439957131,7511884.706388041,46586685.50229166,142845233.9243142,489710970.4848354
Mining_Difficulty,707.0,12854360812489.096,20237372801497.383,12251.9997603745,7708863711.289366,1044462679151.5028,18799554891341.773,88104191118792.77
Nr_Addresses,707.0,2793392.666195191,1788340.0888781042,5552.0,1012079.0,3252720.0,4398578.5,6326247.0
Nr_Transactions,707.0,1458990.5926449788,986756.7832724475,4066.0,456168.0,1657370.0,2114224.0,4773411.0
Nr_Tx_Block,707.0,1413.5895674505,972.0249034693362,3.4907639095181677,401.1430254304165,1610.2119004811595,2062.720257517597,4773.8733943512425
OIL_USD,707.0,71.52772267030018,22.289099665064985,16.940000534057617,52.255001068115234,71.27999877929688,91.56499862670898,120.66999816894533
QQQ,707.0,177.64148958737644,115.76095260859495,44.40020751953125,82.45878982543945,139.0856170654297,280.6474151611328,479.4179992675781
TLT,707.0,103.00968125922002,19.690990641822783,62.31785202026367,90.17668151855469,100.29370880126952,110.04266738891602,154.38626098632812
USD_OnChain_Volume,707.0,10578976469.200844,15013646600.540005,0.0,368149625.9931662,4391146953.110011,15540339742.671673,95466775821.43198
VIX,707.0,17.861527600753764,6.8948333689427805,9.140000343322754,13.240000247955322,16.0,20.71500015258789,66.04000091552734
