Date,L1_BTC_Supply,L1_BalanceSheet_FED,L1_BalanceSheet_global,L1_Bitcoin_Wikipedia_Search,L1_Dollar_Index,L1_GLD,L1_HashRate,L1_M2_Liquidity,L1_Miners_Revenue_USD,L1_Mining_Difficulty,L1_Nr_Addresses,L1_Nr_Transactions,L1_OIL_USD,L1_QQQ,L1_TLT,L1_Ten_YR_USA,L1_USD_OnChain_Volume,L1_VIX,BTC_USD
2010-12-17,6.72050660009132,6.392368206847132,4.074502699466273,2.6364878963533656,1.9034698268519168,2.131650749834862,-0.748699248994436,3.948706308904852,3.5676957689018347,4.342667027833103,3.1429255219144028,3.108371703239144,1.9434450535541168,1.6820259428189983,1.8123226594555837,0.5179872035277183,4.442951129919702,1.2457593710196513,-0.3506651412878581
2010-12-18,,,,,,,,,,,,,,,,,,,
2010-12-19,,,,,,,,,,,,,,,,,,,
2010-12-20,,,,,,,,,,,,,,,,,,,
2010-12-21,,,,,,,,,,,,,,,,,,,
2010-12-22,,,,,,,,,,,,,,,,,,,
2010-12-23,,,,,,,,,,,,,,,,,,,
2010-12-24,6.72050660009132,6.392368206847132,4.073983189212439,2.6781280019514444,1.905093983169546,2.1277525059569555,-0.748699248994436,3.948706308904852,3.5676957689018347,4.342667027833103,3.1429255219144028,3.108371703239144,1.9445813476636704,1.6831252330314663,1.8127420963589875,0.5224442235561577,4.442951129919702,1.207095556873117,-0.3506651412878581
2010-12-25,,,,,,,,,,,,,,,,,,,
2010-12-26,,,,,,,,,,,,,,,,,,,
2010-12-27,,,,,,,,,,,,,,,,,,,
2010-12-28,,,,,,,,,,,,,,,,,,,
2010-12-29,,,,,,,,,,,,,,,,,,,
2010-12-30,,,,,,,,,,,,,,,,,,,
2010-12-31,6.72050660009132,6.392368206847132,4.073983189212439,2.6364878963533656,1.9057958803678683,2.129238621942664,-0.748699248994436,3.948706308904852,3.5676957689018347,4.342667027833103,3.1429255219144028,3.108371703239144,1.9614685654890565,1.6848740243810207,1.8112957004340409,0.5305838452411363,4.442951129919702,1.2166935810637214,-0.3506651412878581
2011-01-01,,,,,,,,,,,,,,,,,,,
2011-01-02,,,,,,,,,,,,,,,,,,,
2011-01-03,,,,,,,,,,,,,,,,,,,
2011-01-04,,,,,,,,,,,,,,,,,,,
2011-01-05,,,,,,,,,,,,,,,,,,,
2011-01-06,,,,,,,,,,,,,,,,,,,
2011-01-07,6.72050660009132,6.392368206847132,4.073983189212439,2.6364878963533656,1.8977919752310808,2.142139083953824,-0.748699248994436,3.948706308904852,3.5676957689018347,4.342667027833103,3.1429255219144028,3.108371703239144,1.9608511406662232,1.682646777507797,1.818306676758148,0.5191714725939084,4.442951129919702,1.249198357391113,-0.3506651412878581
2011-01-08,,,,,,,,,,,,,,,,,,,
2011-01-09,,,,,,,,,,,,,,,,,,,
2011-01-10,,,,,,,,,,,,,,,,,,,
2011-01-11,,,,,,,,,,,,,,,,,,,
2011-01-12,,,,,,,,,,,,,,,,,,,
2011-01-13,,,,,,,,,,,,,,,,,,,
2011-01-14,6.72050660009132,6.392368206847132,4.073983189212439,2.6364878963533656,1.9085386436242875,2.1257414450818293,-0.748699248994436,3.94882847675339,3.5676957689018347,4.342667027833103,3.1429255219144028,3.108371703239144,1.9446306958339603,1.693748022734602,1.8100614695874169,0.5221833265792137,4.442951129919702,1.2340108021220495,-0.3506651412878581
2011-01-15,,,,,,,,,,,,,,,,,,,
2011-01-16,,,,,,,,,,,,,,,,,,,
2011-01-17,,,,,,,,,,,,,,,,,,,
2011-01-18,,,,,,,,,,,,,,,,,,,
2011-01-19,,,,,,,,,,,,,,,,,,,
2011-01-20,,,,,,,,,,,,,,,,,,,
