Date,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,BTC_USD,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,Dollar_Index,QQQ,GLD,TLT,Ten_YR_USA,VIX,OIL_USD,Miners_Revenue_USD,Mining_Difficulty,Nr_Transactions,Nr_Addresses,BTC_Supply
2010-12-01,2346920.0,11826.0337,87.0,0.2275,9743.14119999999,,0.0710777597974285,,80.70999908447266,46.93956756591797,135.3800048828125,66.82106018066406,2.96399998664856,21.36000061035156,86.75,2522.0104,8078.19525792509,512.0,701.0,4749500.0
2010-12-02,,,31.0,0.255,8956.0068,,0.0775028680277046,,80.30000305175781,47.416107177734375,135.1999969482422,66.64683532714844,3.0,19.38999938964844,88.0,2185.0138,8078.19525792509,460.0,557.0,4758900.0
2010-12-03,,,43.0,0.251,5766.7,,0.0771012987633123,,79.37999725341797,47.53964614868164,138.07000732421875,66.12418365478516,3.0169999599456787,18.010000228881836,89.19000244140625,2412.5025,8078.19525792509,384.0,481.0,4768350.0
2010-12-04,,,32.0,0.206,11597.4112614152,,0.0879436689019031,,,,,,,,,3185.0028358902,8078.19525792509,418.0,537.0,4779800.0
2010-12-05,,,29.0,0.19,4808.66499999999,,0.0955734849253559,,,,,,,,,3112.5075,8078.19525792509,434.0,531.0,4791750.0
2010-12-06,,,78.0,0.204,15232.9082756668,,0.0963766234541404,8829.1,79.56999969482422,47.52199935913086,139.11000061035156,67.05791473388672,2.940999984741211,18.020000457763672,89.37999725341797,2863.5103930399,8078.19525792509,465.0,564.0,4803800.0
2010-12-07,,,76.0,0.2402,13195.2888967874,,0.0935656386033946,,79.86000061035156,47.54847717285156,136.5,65.6224365234375,3.164999961853028,17.989999771118164,88.69000244140625,2863.5188936651,8078.19525792509,573.0,745.0,4815750.0
2010-12-08,2382294.0,11871.4208,55.0,0.2388,3899.9076,,0.0927625000746101,,80.0,47.72498321533203,134.7899932861328,64.98833465576172,3.236000061035156,17.739999771118164,88.27999877929688,2806.0092,8078.19525792509,523.0,674.0,4827650.0
2010-12-09,,,32.0,0.2,5589.14,,0.100392316098063,,80.06999969482422,47.76911163330078,135.3699951171875,65.3088607788086,3.2230000495910645,17.25,88.37000274658203,2837.50997886,8078.19525792509,486.0,599.0,4838800.0
2010-12-10,,,50.0,0.204,2885.0878,,0.0913575317385561,,80.06999969482422,48.08680725097656,135.41000366210938,64.91165161132812,3.2960000038146973,17.610000610351562,87.79000091552734,1713.5161,12251.9997603745,373.0,501.0,4846150.0
2010-12-11,,,74.0,0.228,7112.1288,,0.104756636393544,,,,,,,,,1900.5246220758,12251.9997603745,550.0,856.0,4854900.0
2010-12-12,,,346.0,0.22,3622.086,,0.105974736816725,,,,,,,,,2081.5364720476,12251.9997603745,643.0,979.0,4863450.0
2010-12-13,,,375.0,0.2299,18809.7235042644,,0.0925756321617369,8848.4,79.27999877929688,47.91913604736328,136.0500030517578,65.15556335449219,3.282999992370605,17.549999237060547,88.61000061035156,1644.5716395904,12251.9997603745,646.0,965.0,4870500.0
2010-12-14,,,1035.0,0.2467,3396.48566366581,,0.099275184489231,,79.37000274658203,48.00738525390625,136.17999267578125,64.20783233642578,3.4549999237060547,17.610000610351562,88.27999877929688,1932.0112523797,12251.9997603745,637.0,908.0,4878900.0
2010-12-15,2385754.0,11775.3249,570.0,0.24,8149.5831,,0.109019987874677,,80.26000213623047,47.79557800292969,134.6999969482422,63.37162399291992,3.5199999809265137,17.940000534057617,88.62000274658203,3783.5155090196,12251.9997603745,658.0,895.0,4888850.0
2010-12-16,,,518.0,0.25,4619.2975,,0.11328333935581,,80.18000030517578,48.16622924804688,133.80999755859375,63.81063461303711,3.476999998092652,17.389999389648438,87.69999694824219,2187.525892365,12251.9997603745,531.0,706.0,4897500.0
