Date,USD_OnChain_Volume,Nr_Transactions,Nr_Addresses,BTC_PageViews,Crypto_PageViews
2010-07-30,,325.0,374.0,,
2010-07-31,,295.0,339.0,,
2010-08-01,,364.0,429.0,,
2010-08-02,,398.0,431.0,,
2010-08-03,,648.0,701.0,,
2010-08-04,,439.0,539.0,,
2010-08-05,,515.0,634.0,,
2010-08-06,,359.0,422.0,,
2010-08-07,,273.0,303.0,,
2010-08-08,,391.0,437.0,,
2010-08-09,,424.0,511.0,,
2010-08-10,,340.0,370.0,,
2010-08-11,,412.0,451.0,,
2010-08-12,,392.0,450.0,,
2010-08-13,,516.0,609.0,,
2010-08-14,,434.0,440.0,,
2010-08-15,,315.0,297.0,,
2010-08-16,,453.0,521.0,,
2010-08-17,,318.0,365.0,,
2010-08-18,,377.0,450.0,,
2010-08-19,,325.0,355.0,,
2010-08-20,,423.0,458.0,,
2010-08-21,,342.0,389.0,,
2010-08-22,,366.0,373.0,,
2010-08-23,,369.0,415.0,,
2010-08-24,,379.0,431.0,,
2010-08-25,,365.0,379.0,,
2010-08-26,,368.0,388.0,,
2010-08-27,,294.0,323.0,,
2010-08-28,861.9295999,339.0,382.0,,
2010-08-29,469.5138,260.0,291.0,,
2010-08-30,944.5373,329.0,359.0,,
2010-08-31,2427.5209,441.0,456.0,,
2010-09-01,1010.3004,380.0,431.0,,
2010-09-02,1604.6628,321.0,343.0,,
2010-09-03,1513.3758,319.0,373.0,,
2010-09-04,1531.5042,274.0,307.0,,
2010-09-05,1828.3764,311.0,354.0,,
2010-09-06,1694.7888,278.0,309.0,,
2010-09-07,783.2022,282.0,290.0,,
2010-09-08,786.7542,339.0,387.0,,
2010-09-09,1023.9252,324.0,362.0,,
2010-09-10,594.225,360.0,394.0,,
2010-09-11,559.1766,305.0,330.0,,
2010-09-12,939.3114,379.0,425.0,,
2010-09-13,1688.811,436.0,512.0,,
2010-09-14,1218.627624,424.0,459.0,,
2010-09-15,2492.3502,430.0,484.0,,
2010-09-16,4101.552,438.0,425.0,,
2010-09-17,4175.8764,361.0,375.0,,
2010-09-18,2351.6856,399.0,410.0,,
2010-09-19,2135.7834,355.0,389.0,,
2010-09-20,1926.975,465.0,525.0,,
2010-09-21,989.0634,810.0,968.0,,
2010-09-22,1706.9796,673.0,845.0,,
2010-09-23,4105.2816,655.0,725.0,,
2010-09-24,1059.924,501.0,572.0,,
2010-09-25,1421.9406,532.0,602.0,,
2010-09-26,1207.464,400.0,435.0,,
2010-09-27,1767.6606,603.0,693.0,,
2010-09-28,4446.020232,491.0,492.0,,
2010-09-29,1472.1138,975.0,971.0,,
2010-09-30,1875.3306,365.0,456.0,,
2010-10-01,2111.790436,584.0,672.0,,
2010-10-02,17508.0792,501.0,602.0,,
2010-10-03,2186.6442,377.0,488.0,,
2010-10-04,4072.4898,407.0,512.0,,
2010-10-05,6137.5368,371.0,491.0,,
2010-10-06,4998.297,407.0,484.0,,
2010-10-07,5650.5246,340.0,407.0,,
2010-10-08,8206.45,363.0,454.0,,
2010-10-09,14729.4,401.0,484.0,,
2010-10-10,10896.4656,363.0,451.0,,
2010-10-11,2945.2368,342.0,424.0,,
2010-10-12,5828.9436,352.0,447.0,,
2010-10-13,3541.591,364.0,457.0,,
2010-10-14,8569.171,367.0,443.0,,
2010-10-15,4345.6589,328.0,403.0,,
2010-10-16,11582.5608,441.0,511.0,,
2010-10-17,1243.605,457.0,541.0,,
2010-10-18,3527.157,579.0,713.0,,
2010-10-19,3621.433,924.0,1197.0,,
2010-10-20,5410.448,713.0,912.0,,
2010-10-21,6071.105,552.0,697.0,,
2010-10-22,2832.0886,602.0,764.0,,
2010-10-23,2386.8284,517.0,671.0,,
2010-10-24,9307.6451,552.0,671.0,,
2010-10-25,7509.2994,410.0,517.0,,
2010-10-26,9658.2256,518.0,683.0,,
2010-10-27,16422.7108,568.0,770.0,,
2010-10-28,16050.2234,486.0,644.0,,
2010-10-29,10160.5464,467.0,542.0,,
2010-10-30,6530.3057,426.0,463.0,,
2010-10-31,8933.9349,307.0,345.0,,
2010-11-01,4646.002,351.0,399.0,,
2010-11-02,4586.306,286.0,322.0,,
2010-11-03,6455.4273,347.0,407.0,,
2010-11-04,33948.6606,342.0,378.0,,
2010-11-05,8610.0816,442.0,490.0,,
2010-11-06,25863.5825,394.0,447.0,,
2010-11-07,9674.02,451.0,486.0,,
2010-11-08,195629.0635,515.0,572.0,,
2010-11-09,10425.7944,409.0,446.0,,
2010-11-10,8828.336,397.0,458.0,,
2010-11-11,5038.9014,395.0,442.0,,
2010-11-12,3352.9536,286.0,315.0,,
2010-11-13,5202.8366,343.0,373.0,,
2010-11-14,9223.884,416.0,457.0,,
2010-11-15,17381.277,4871.0,4210.0,,
2010-11-16,8488.5948,9105.0,3075.0,,
2010-11-17,8311.898,435.0,496.0,,
2010-11-18,8287.3056,1494.0,469.0,,
2010-11-19,5037.0071,9632.0,402.0,,
2010-11-20,12329.6376,9731.0,645.0,,
2010-11-21,11834.0532,10044.0,578.0,,
2010-11-22,4107.0641,343.0,418.0,,
2010-11-23,9171.2908,341.0,411.0,,
2010-11-24,7007.7021,3936.0,621.0,,
2010-11-25,10748.892,4983.0,668.0,,
2010-11-26,21817.138,1314.0,955.0,,
2010-11-27,5373.5173,445.0,564.0,,
2010-11-28,3426.962,454.0,542.0,,
2010-11-29,8936.4492,454.0,544.0,,
2010-11-30,15045.9512,454.0,577.0,,
2010-12-01,9743.1412,512.0,701.0,,
2010-12-02,8956.0068,460.0,557.0,,
2010-12-03,5766.7,384.0,481.0,,
2010-12-04,11597.41126,418.0,537.0,,
2010-12-05,4808.665,434.0,531.0,,
2010-12-06,15232.90828,465.0,564.0,,
2010-12-07,13195.2889,573.0,745.0,,
2010-12-08,3899.9076,523.0,674.0,,
2010-12-09,5589.14,486.0,599.0,,
2010-12-10,2885.0878,373.0,501.0,,
2010-12-11,7112.1288,550.0,856.0,,
2010-12-12,3622.086,643.0,979.0,,
2010-12-13,18809.7235,646.0,965.0,,
2010-12-14,3396.485664,637.0,908.0,,
2010-12-15,8149.5831,658.0,895.0,,
2010-12-16,4619.2975,531.0,706.0,,
2010-12-17,3451.603936,462.0,604.0,,
2010-12-18,6476.2425,499.0,688.0,,
2010-12-19,37620.8825,551.0,741.0,,
2010-12-20,7003.368071,932.0,1120.0,,
2010-12-21,15295.6728,630.0,846.0,,
2010-12-22,6122.846982,659.0,888.0,,
2010-12-23,2191.2072,519.0,822.0,,
2010-12-24,2646.905,531.0,711.0,,
2010-12-25,3678.52,634.0,914.0,,
2010-12-26,2132.7725,584.0,843.0,,
2010-12-27,14170.6773,526.0,701.0,,
2010-12-28,4167.214871,661.0,877.0,,
2010-12-29,12312.4836,513.0,696.0,,
2010-12-30,7736.61,593.0,797.0,,
2010-12-31,4067.241,555.0,724.0,,
2011-01-01,3756.462,659.0,,,
2011-01-02,7008.423,569.0,740.0,,
2011-01-03,7795.668,1128.0,1023.0,,
2011-01-04,3301.215235,979.0,907.0,,
2011-01-05,5556.873,1310.0,1111.0,,
2011-01-06,4357.029,694.0,842.0,,
2011-01-07,6019.1382,1020.0,1005.0,,
2011-01-08,8877.162351,1436.0,1263.0,,
2011-01-09,4105.790301,1223.0,1132.0,,
2011-01-10,13484.09895,1312.0,1187.0,,
2011-01-11,20325.55013,1362.0,1257.0,,
2011-01-12,7780.7169,1162.0,1039.0,,
2011-01-13,20276.73538,1266.0,1152.0,,
2011-01-14,21755.4834,1262.0,1096.0,,
2011-01-15,6301.244614,962.0,1171.0,,
2011-01-16,15396.71702,931.0,1214.0,,
2011-01-17,11251.94262,830.0,1116.0,,
2011-01-18,26662.24,818.0,1126.0,,
2011-01-19,13865.63611,917.0,1221.0,,
2011-01-20,8350.317376,924.0,1206.0,,
2011-01-21,9615.687966,1166.0,1520.0,,
2011-01-22,13223.80089,1422.0,1703.0,,
2011-01-23,21588.5585,1081.0,1413.0,,
2011-01-24,9791.807949,1319.0,1673.0,,
2011-01-25,10298.92874,889.0,1166.0,,
2011-01-26,11572.891,1005.0,1251.0,,
2011-01-27,307395.0474,841.0,1119.0,,
2011-01-28,8826.567,1081.0,1403.0,,
2011-01-29,7266.474,1347.0,1694.0,,
2011-01-30,8352.313917,2592.0,2852.0,,
2011-01-31,21670.848,1393.0,1777.0,,
2011-02-01,42517.305,1013.0,1336.0,,
2011-02-02,55187.948,896.0,1127.0,,
2011-02-03,35919.075,789.0,989.0,,
2011-02-04,23196.5994,954.0,1169.0,,
2011-02-05,39026.18893,832.0,1055.0,,
2011-02-06,31946.10047,909.0,1102.0,,
2011-02-07,108265.2749,892.0,1091.0,,
2011-02-08,18527.715,846.0,1092.0,,
2011-02-09,58111.04061,1227.0,1726.0,,
2011-02-10,34316.28775,2034.0,3019.0,,
2011-02-11,54736.8849,2355.0,3680.0,,
2011-02-12,24978.4888,1912.0,2872.0,,
2011-02-13,26628.6891,1822.0,2626.0,,
2011-02-14,53457.9156,2006.0,2829.0,,
2011-02-15,33518.2212,2224.0,2893.0,,
2011-02-16,20771.3808,2090.0,2557.0,,
2011-02-17,19951.407,2250.0,3147.0,,
2011-02-18,45079.34601,2056.0,2992.0,,
2011-02-19,21431.79657,1583.0,2313.0,,
2011-02-20,44346.16951,1939.0,2752.0,,
2011-02-21,17259.9228,1970.0,2900.0,,
2011-02-22,28534.9592,2196.0,3230.0,,
2011-02-23,24699.0219,2263.0,3287.0,,
2011-02-24,34667.77004,2109.0,3083.0,,
2011-02-25,28442.3616,2060.0,2959.0,,
2011-02-26,45425.8,1952.0,,,
2011-02-27,82776.91472,2269.0,3122.0,,
2011-02-28,43059.07253,1720.0,2510.0,,
2011-03-01,218777.7173,2729.0,4420.0,,
2011-03-02,163542.617,2009.0,2979.0,,
2011-03-03,21989.156,3204.0,4402.0,,
2011-03-04,41221.14536,1982.0,2802.0,,
2011-03-05,31208.36461,2048.0,2923.0,,
2011-03-06,34653.65904,2031.0,2870.0,,
2011-03-07,33292.69399,1926.0,2857.0,,
2011-03-08,54794.4247,2440.0,3483.0,,
2011-03-09,88074.83251,1834.0,2849.0,,
2011-03-10,140411.3019,1661.0,2519.0,,
2011-03-11,63571.44858,1884.0,2579.0,,
2011-03-12,67375.31931,2956.0,2722.0,,
2011-03-13,47741.06936,2711.0,2490.0,,
2011-03-14,136059.17,2643.0,2161.0,,
2011-03-15,69857.9592,2854.0,2849.0,,
2011-03-16,65572.09198,3183.0,2541.0,,
2011-03-17,71784.4039,3367.0,2782.0,,
2011-03-18,65170.67357,2371.0,2541.0,,
2011-03-19,42299.7372,3189.0,2751.0,,
2011-03-20,40848.73071,4076.0,4021.0,,
2011-03-21,47217.81767,5855.0,4196.0,,
2011-03-22,59666.92708,2238.0,3340.0,,
2011-03-23,94301.93419,4570.0,6112.0,,
2011-03-24,75721.66742,2164.0,3675.0,,
2011-03-25,56282.50755,1999.0,3421.0,,
2011-03-26,112570.0212,3335.0,4144.0,,
2011-03-27,48335.54199,2463.0,4110.0,,
2011-03-28,57720.23133,2931.0,4225.0,,
2011-03-29,46543.10836,2718.0,3966.0,,
2011-03-30,45450.24949,1756.0,3024.0,,
2011-03-31,54709.40105,2095.0,3556.0,,
2011-04-01,40891.55553,1579.0,2714.0,,
2011-04-02,43015.256,1772.0,2878.0,,
2011-04-03,26880.70944,1805.0,3089.0,,
2011-04-04,72338.31754,2309.0,3829.0,,
2011-04-05,44486.55542,2119.0,3576.0,,
2011-04-06,28279.8972,1864.0,3212.0,,
2011-04-07,48903.38467,1677.0,2792.0,,
2011-04-08,45202.86395,1767.0,3002.0,,
2011-04-09,47869.13368,1733.0,3069.0,,
2011-04-10,37017.81493,1744.0,2907.0,,
2011-04-11,40870.48669,1943.0,3239.0,,
2011-04-12,60258.2794,2077.0,3373.0,,
2011-04-13,65569.86996,2371.0,3658.0,,
2011-04-14,88048.54067,2881.0,5169.0,,
2011-04-15,53470.99324,2018.0,3162.0,,
2011-04-16,190077.5151,2154.0,3277.0,,
2011-04-17,755347.5651,2257.0,3549.0,,
2011-04-18,79033.25632,3035.0,4471.0,,
2011-04-19,2136033.332,3598.0,5303.0,,
2011-04-20,684716.8965,2969.0,4321.0,,
2011-04-21,108090.6901,1915.0,3329.0,,
2011-04-22,143802.591,2097.0,3411.0,,
2011-04-23,131344.2082,2310.0,3854.0,,
2011-04-24,92837.51182,2273.0,3668.0,,
2011-04-25,88128.17145,2592.0,4239.0,,
2011-04-26,115672.842,3455.0,5159.0,,
2011-04-27,170498.8678,4580.0,6326.0,,
2011-04-28,162973.6074,3035.0,5070.0,,
2011-04-29,559191.0154,3534.0,5637.0,,
2011-04-30,898044.2223,4473.0,6883.0,,
2011-05-01,290363.062,3949.0,6246.0,,
2011-05-02,221238.3061,3095.0,4894.0,,
2011-05-03,374971.1754,2935.0,5023.0,,
2011-05-04,608822.7176,2800.0,5060.0,,
2011-05-05,304130.5377,3464.0,5822.0,,
2011-05-06,355406.2812,3290.0,5777.0,,
2011-05-07,343592.0616,3887.0,6034.0,,
2011-05-08,291003.2997,2898.0,5207.0,,
2011-05-09,277316.6511,3516.0,6069.0,,
2011-05-10,477192.6339,3151.0,5567.0,,
2011-05-11,576071.7321,3090.0,5601.0,,
2011-05-12,620978.1123,3361.0,5738.0,,
2011-05-13,2165446.025,4064.0,7459.0,,
2011-05-14,6043338.542,4414.0,7550.0,,
2011-05-15,1875060.75,3770.0,6879.0,,
2011-05-16,1144066.67,4349.0,9982.0,,
2011-05-17,623902.2404,4464.0,8950.0,,
2011-05-18,665373.5012,5581.0,10834.0,,
2011-05-19,443972.4565,4663.0,10305.0,,
2011-05-20,543316.4839,4795.0,9754.0,,
2011-05-21,2870608.933,4964.0,9084.0,,
2011-05-22,1673286.808,5282.0,9506.0,,
2011-05-23,619627.0483,5745.0,10231.0,,
2011-05-24,486373.1383,5865.0,11578.0,,
2011-05-25,490468.5808,6258.0,12714.0,,
2011-05-26,690567.8839,6967.0,12132.0,,
2011-05-27,3150703.948,4853.0,8881.0,,
2011-05-28,412417.2455,5013.0,9810.0,,
2011-05-29,534122.5405,4753.0,9193.0,,
2011-05-30,452600.5333,5337.0,11089.0,,
2011-05-31,664318.8157,6063.0,11804.0,,
2011-06-01,633843.1196,6540.0,11928.0,,
2011-06-02,874657.8084,7136.0,12933.0,,
2011-06-03,1703030.015,8441.0,14972.0,,
2011-06-04,1294393.036,8811.0,16869.0,,
2011-06-05,1733708.313,8592.0,15506.0,,
2011-06-06,1991827.599,9703.0,17873.0,,
2011-06-07,1523742.332,9002.0,16136.0,,
2011-06-08,4425441.503,11815.0,21324.0,,
2011-06-09,4370227.647,12176.0,22685.0,,
2011-06-10,4228078.692,11269.0,20979.0,,
2011-06-11,4155921.704,10897.0,20595.0,,
2011-06-12,18153841.75,12440.0,23112.0,,
2011-06-13,4140612.866,11246.0,21838.0,,
2011-06-14,6455876.334,14158.0,26107.0,,
2011-06-15,2727724.653,12605.0,23970.0,,
2011-06-16,3409788.06,12746.0,24631.0,,
2011-06-17,2771632.427,11296.0,22327.0,,
2011-06-18,1601727.558,11563.0,22951.0,,
2011-06-19,15437883.0,11472.0,23996.0,,
2011-06-20,1618541.932,11225.0,22601.0,,
2011-06-21,2024526.864,9704.0,21761.0,,
2011-06-22,1460721.574,11519.0,24061.0,,
2011-06-23,7547246.958,10418.0,21729.0,,
2011-06-24,1477353.337,10922.0,21877.0,,
2011-06-25,1968666.103,9693.0,19567.0,,
2011-06-26,1366154.629,9985.0,19998.0,,
2011-06-27,2220498.659,11751.0,25710.0,,
2011-06-28,1976506.917,10719.0,22438.0,,
2011-06-29,1346345.41,10002.0,21233.0,,
2011-06-30,1624680.159,9636.0,20208.0,,
2011-07-01,1684555.695,10603.0,26938.0,,
2011-07-02,1494932.735,8018.0,29542.0,,
2011-07-03,723908.2251,8364.0,19736.0,,
2011-07-04,1221812.252,9604.0,20513.0,,
2011-07-05,1456460.759,8965.0,19584.0,,
2011-07-06,1160180.088,10519.0,22736.0,,
2011-07-07,861991.9921,9180.0,19681.0,,
2011-07-08,820606.1247,8528.0,21353.0,,
2011-07-09,783251.8759,7851.0,19626.0,,
2011-07-10,932825.8423,8392.0,25407.0,,
2011-07-11,954773.1561,10523.0,22477.0,,
2011-07-12,819879.4852,8147.0,19827.0,,
2011-07-13,802475.9672,9193.0,24091.0,,
2011-07-14,747156.017,8716.0,25886.0,,
2011-07-15,653480.7952,8148.0,21625.0,,
2011-07-16,643472.8454,8726.0,,,
2011-07-17,704092.0506,8379.0,21649.0,,
2011-07-18,2794117.774,8976.0,21558.0,,
