Date,10yr-2y_euro-area,10yr-2y_usa,BalanceSheet_euro-area,BalanceSheet_global,BalanceSheet_japan,BalanceSheet_usa,BTC_price,GDP_japan,GDP_usa,GDP_euro-area,Breakeven_inflation_usa,CPI_euro-area,CPI_japan,CPI_usa,PMI_euro-area,PMI_japan,PMI_usa,EURUSD,JPYUSD,JPYEUR,SPY,QQQ,EXSA,JPXN
2010-01-31,2.415,2.81,1877655.0,11695.0566,1224342.0,2246886.0,,501471.4,14764.61,2695667.0,2.33,0.9,-1.3,0.34174735701485,52.4,53.8,,1.387694001197815,0.0110827879980206,0.0079800002276897,82.04276275634766,37.48838806152344,17.53615379333496,33.22464370727539
2010-02-28,2.463,2.80,1889017.0,11704.4023,1267675.0,2286127.0,,,,,2.13,0.8,-1.1,0.024920738207648,54.2,52.5,,1.3637913465499878,0.011249859817326,0.0082499999552965,84.60205078125,39.214317321777344,17.48679542541504,33.479209899902344
2010-03-31,2.41,2.82,1894898.0,11815.4072,1218241.0,2307150.0,,,,,2.24,1.6,-1.1,0.4106283536571079,56.6,53.8,,1.3508037328720093,0.0106929000467062,0.0079100001603364,89.38452911376953,42.19304656982422,18.826513290405277,35.207157135009766
2010-04-30,2.385,2.72,1956819.0,11828.0071,1142013.0,2330472.0,,504976.6,14980.193,2729884.8,2.40,1.6,-1.2,0.173688491069743,57.6,53.5,,1.3298048973083496,0.0106575721874833,0.0080099999904632,91.1410903930664,43.1852912902832,18.57971572875977,34.62860107421875
2010-05-31,2.429,.,2088450.0,11777.3199,1209586.0,2334041.0,,,,,.,1.7,-0.9,0.0775197354237721,55.8,54.7,,1.2287880182266235,0.0109661146998405,0.0089199999347329,83.89948272705078,39.99288558959961,17.733585357666016,31.97495460510254
2010-06-30,2.332,2.36,2154245.0,11674.2079,1132336.0,2330851.0,,,,,1.82,1.5,-0.7,-0.0976267084673888,55.6,53.9,,1.223002314567566,0.011308379471302,0.009239999577403,79.1817626953125,37.45824432373047,17.373977661132812,30.702133178710938
2010-07-31,2.137,2.39,2001660.0,11806.8971,1173742.0,2325298.0,,510917.7,15141.607,2758580.9,1.80,1.7,-0.9,0.0211043057371509,56.7,52.8,,1.3040019273757937,0.0115673802793025,0.0088700000196695,84.99237823486328,40.33234405517578,18.262414932250977,32.519954681396484
2010-08-31,1.854,2.00,1957926.0,11845.5284,1230414.0,2301015.0,,,,,1.52,1.6,-0.9,0.138066427840807,55.1,50.1,,1.266592264175415,0.0118298400193452,0.0093400003388524,81.16935729980469,38.26334762573242,17.938072204589844,31.70501136779785
2010-09-30,1.773,2.11,1971356.0,11778.9015,1203317.0,2298691.0,,,,,1.78,1.9,-0.6,0.0581736230715569,53.7,49.5,,1.36280620098114,0.0119380177929997,0.0087599996477365,87.96749877929688,43.20254898071289,18.565624237060547,33.44355392456055
2010-10-31,1.795,2.29,1895679.0,11877.3304,1214171.0,2295392.0,,505350.1,15309.474,2782774.6,2.13,1.9,0.2,0.1245198888476959,54.6,47.2,,1.377808928489685,0.0122430492192506,0.0088900001719594,91.81700897216795,46.04825973510742,19.0239372253418,33.800559997558594
2010-11-30,2.123,2.36,1915961.0,11835.8143,1270457.0,2346001.0,,,,,2.07,1.9,0.1,0.0420646423819507,55.3,47.3,,1.3103927373886108,0.0118688726797699,0.0090600000694394,91.81700897216795,45.968841552734375,18.79829978942871,34.716407775878906
2010-12-31,2.433,2.69,2004432.0,11806.2939,1287104.0,2420570.0,,,,,2.30,2.2,0.0,0.1718440789203089,57.1,48.3,,1.3301233053207395,0.0122729502618312,0.0092200003564357,97.44271850585938,48.060325622558594,19.750205993652344,36.88958740234375
2011-01-31,2.011,2.84,1965568.0,11828.8466,1279996.0,2443527.0,,498629.8,15351.448,2823561.9,2.34,2.3,-0.6,0.4763230053974139,57.3,51.4,,1.3572757244110107,0.0121819004416465,0.0089699998497962,100.23751831054688,49.51734161376953,19.96173667907715,37.19383239746094
2011-02-28,1.962,2.73,1952278.0,11933.6695,1301181.0,2533221.0,,,,,2.39,2.4,-0.5,0.493136502545162,59.0,52.9,,1.373437762260437,0.0122515987604856,0.0089199999347329,103.71951293945312,51.08245086669922,20.377758026123047,39.3259162902832
2011-03-31,1.867,2.67,1928055.0,12135.3396,1423631.0,2622523.0,,,,,2.48,2.7,-0.5,0.975107203050938,57.5,46.4,,1.4121301174163818,0.0120264580473303,0.0085199996829032,103.28330993652344,50.78180313110352,19.70790100097656,35.14796829223633
2011-04-30,1.695,2.71,1894101.0,12181.169,1346213.0,2690985.0,,490706.3,15557.539,2831422.9,2.57,2.8,-0.4,0.643942953545699,58.0,45.7,,1.4820963144302368,0.0122654242441058,0.0082599995657801,106.7362060546875,52.31451416015625,20.384811401367188,35.72802734375
2011-05-31,1.694,2.60,1900610.0,12239.4822,1351200.0,2774996.0,,,,,2.25,2.7,-0.4,0.470418752723364,54.6,51.3,,1.432233810424805,0.0123639963567256,0.0086300000548362,105.5392074584961,51.67694854736328,20.34250259399414,34.857948303222656
2011-06-30,1.754,2.73,1972174.0,12335.6992,1295844.0,2865251.0,,,,,2.43,2.7,-0.4,-0.107096705669922,52.0,50.7,,1.4478904008865356,0.0123900389298796,0.008559999987483,103.24691772460938,50.5169677734375,19.43995857238769,35.26555633544922
2011-07-31,1.738,2.46,2000471.0,12341.4137,1344737.0,2863576.0,,501027.4,15647.68,2836878.2,2.44,2.6,0.2,0.0886045666793554,50.4,52.1,,1.4331985712051392,0.012865045107901,0.0089699998497962,101.68317413330078,51.47335433959961,18.939327239990234,36.48947525024414
2011-08-31,1.904,2.03,2071633.0,12396.1246,1414829.0,2853888.0,,,,,2.05,2.5,0.2,0.27575889023645,49.0,51.9,,1.4433138370513916,0.0130376406013965,0.0090300003066658,96.09304809570312,48.86419296264648,17.035518646240234,33.34259796142578
2011-09-30,1.737,1.67,2288571.0,12488.6954,1376890.0,2850921.0,,,,,1.75,3.0,0.0,0.151846211569461,48.5,49.3,,1.3585848808288574,0.0130267702043056,0.0095899999141693,88.9619369506836,46.5833854675293,16.175281524658203,31.911495208740234
