Date,BTC_price
31-12-2011,4.58
01-01-2012,5.0
02-01-2012,5.0
03-01-2012,5.29
04-01-2012,5.57
05-01-2012,6.65
06-01-2012,6.0
07-01-2012,6.8
08-01-2012,7.0
09-01-2012,6.3
10-01-2012,7.14
11-01-2012,7.0
12-01-2012,6.51
13-01-2012,6.6
14-01-2012,6.3
15-01-2012,7.15
16-01-2012,7.1
17-01-2012,6.0
18-01-2012,7.1
19-01-2012,6.22
20-01-2012,6.95
21-01-2012,6.77
22-01-2012,6.79
23-01-2012,6.52
24-01-2012,6.55
25-01-2012,6.31
26-01-2012,5.5
27-01-2012,5.88
28-01-2012,4.91
29-01-2012,5.5
30-01-2012,5.58
31-01-2012,5.3
01-02-2012,5.88
02-02-2012,6.28
03-02-2012,6.3
04-02-2012,5.94
05-02-2012,5.6
06-02-2012,5.6
07-02-2012,5.69
08-02-2012,5.87
09-02-2012,5.89
10-02-2012,5.88
11-02-2012,5.5
12-02-2012,5.67
13-02-2012,5.79
14-02-2012,4.89
15-02-2012,4.69
16-02-2012,4.51
17-02-2012,4.67
18-02-2012,4.23
19-02-2012,4.38
20-02-2012,4.44
21-02-2012,4.58
22-02-2012,4.51
23-02-2012,5.22
24-02-2012,4.95
25-02-2012,5.0
26-02-2012,4.98
27-02-2012,5.04
28-02-2012,4.88
29-02-2012,4.99
01-03-2012,5.0
02-03-2012,4.79
03-03-2012,4.65
04-03-2012,4.81
05-03-2012,5.06
06-03-2012,4.98
07-03-2012,4.93
08-03-2012,5.01
09-03-2012,4.93
10-03-2012,4.94
11-03-2012,5.0
12-03-2012,4.99
13-03-2012,5.3
14-03-2012,5.27
15-03-2012,5.39
16-03-2012,5.26
17-03-2012,5.42
18-03-2012,5.25
19-03-2012,4.83
20-03-2012,4.79
21-03-2012,4.96
22-03-2012,4.91
23-03-2012,4.78
24-03-2012,4.83
25-03-2012,4.54
26-03-2012,4.73
27-03-2012,4.84
28-03-2012,4.93
29-03-2012,4.84
30-03-2012,4.88
31-03-2012,4.9
01-04-2012,4.89
02-04-2012,5.04
03-04-2012,4.99
04-04-2012,5.01
05-04-2012,5.0
06-04-2012,4.99
07-04-2012,4.7
08-04-2012,4.76
09-04-2012,4.75
10-04-2012,4.8
11-04-2012,4.92
12-04-2012,4.93
13-04-2012,4.93
14-04-2012,4.96
15-04-2012,4.99
16-04-2012,4.98
17-04-2012,4.98
18-04-2012,5.16
19-04-2012,5.13
20-04-2012,5.38
21-04-2012,5.24
22-04-2012,5.17
23-04-2012,5.0
24-04-2012,5.08
25-04-2012,5.14
26-04-2012,4.98
27-04-2012,5.04
28-04-2012,4.91
29-04-2012,4.91
30-04-2012,5.0
01-05-2012,4.97
02-05-2012,5.06
03-05-2012,5.1
04-05-2012,5.07
05-05-2012,5.04
06-05-2012,5.08
07-05-2012,5.05
08-05-2012,5.02
09-05-2012,5.02
10-05-2012,4.87
11-05-2012,4.95
12-05-2012,4.91
13-05-2012,4.94
14-05-2012,4.93
15-05-2012,4.95
16-05-2012,5.04
17-05-2012,5.02
18-05-2012,5.07
19-05-2012,5.07
20-05-2012,5.03
21-05-2012,5.08
22-05-2012,5.03
23-05-2012,5.1
24-05-2012,5.12
25-05-2012,5.08
26-05-2012,5.07
27-05-2012,5.07
28-05-2012,5.07
29-05-2012,5.11
30-05-2012,5.14
31-05-2012,5.17
01-06-2012,5.22
02-06-2012,5.19
03-06-2012,5.19
04-06-2012,5.22
05-06-2012,5.37
06-06-2012,5.41
07-06-2012,5.53
08-06-2012,5.61
09-06-2012,5.48
10-06-2012,5.42
11-06-2012,5.52
12-06-2012,5.71
13-06-2012,5.86
14-06-2012,5.9
15-06-2012,6.42
16-06-2012,6.41
17-06-2012,6.19
18-06-2012,6.06
19-06-2012,6.46
20-06-2012,6.64
21-06-2012,6.64
22-06-2012,6.59
23-06-2012,6.45
24-06-2012,6.4
25-06-2012,6.26
26-06-2012,6.41
27-06-2012,6.49
28-06-2012,6.5
29-06-2012,6.52
30-06-2012,6.61
01-07-2012,6.52
02-07-2012,6.61
03-07-2012,6.44
04-07-2012,6.44
05-07-2012,6.6
06-07-2012,6.59
07-07-2012,6.79
08-07-2012,6.73
09-07-2012,6.94
10-07-2012,7.08
11-07-2012,7.14
12-07-2012,7.59
13-07-2012,7.59
14-07-2012,7.55
15-07-2012,7.57
16-07-2012,8.3
17-07-2012,8.55
18-07-2012,9.0
19-07-2012,8.76
20-07-2012,8.44
21-07-2012,8.74
22-07-2012,8.42
23-07-2012,8.59
24-07-2012,8.61
25-07-2012,8.64
26-07-2012,8.75
27-07-2012,8.83
28-07-2012,8.88
29-07-2012,8.71
30-07-2012,9.0
31-07-2012,9.28
01-08-2012,9.45
02-08-2012,10.44
03-08-2012,10.79
04-08-2012,10.51
05-08-2012,10.71
06-08-2012,10.84
07-08-2012,10.75
08-08-2012,10.99
09-08-2012,11.0
10-08-2012,11.32
11-08-2012,11.38
12-08-2012,11.49
13-08-2012,11.89
14-08-2012,12.25
15-08-2012,13.01
16-08-2012,13.42
17-08-2012,12.5
18-08-2012,11.54
19-08-2012,8.06
20-08-2012,10.05
21-08-2012,10.18
22-08-2012,9.96
23-08-2012,10.02
24-08-2012,10.37
25-08-2012,10.57
26-08-2012,10.31
27-08-2012,10.78
28-08-2012,11.0
29-08-2012,10.78
30-08-2012,10.65
