Date,BalanceSheet_FED
12/18/02,719542
12/25/02,732059
01/01/03,730994
01/08/03,723762
01/15/03,720074
01/22/03,735953
01/29/03,712809
02/05/03,719643
02/12/03,713281
02/19/03,730400
02/26/03,721980
03/05/03,722649
03/12/03,717014
03/19/03,729923
03/26/03,725019
04/02/03,732452
04/09/03,727826
04/16/03,745838
04/23/03,732222
04/30/03,746294
05/07/03,733466
05/14/03,740371
05/21/03,734699
05/28/03,744896
06/04/03,731667
06/11/03,743236
06/18/03,735926
06/25/03,744018
07/02/03,740126
07/09/03,744430
07/16/03,737765
07/23/03,745665
07/30/03,740295
08/06/03,734018
08/13/03,735386
08/20/03,750825
08/27/03,740637
09/03/03,750461
09/10/03,737234
09/17/03,743939
09/24/03,741193
10/01/03,753155
10/08/03,737108
10/15/03,754229
10/22/03,743578
10/29/03,747272
11/05/03,744116
11/12/03,745604
11/19/03,744521
11/26/03,756964
12/03/03,749981
12/10/03,756585
12/17/03,753919
12/24/03,767012
12/31/03,771551
01/07/04,755829
01/14/04,752812
01/21/04,775833
01/28/04,755279
02/04/04,754153
02/11/04,750999
02/18/04,758759
02/25/04,750666
03/03/04,754867
03/10/04,749950
03/17/04,760638
03/24/04,751510
03/31/04,760725
04/07/04,754083
04/14/04,763734
04/21/04,757984
04/28/04,772927
05/05/04,758838
05/12/04,764835
05/19/04,756874
05/26/04,771108
06/02/04,764090
06/09/04,772187
06/16/04,761834
06/23/04,775261
06/30/04,779578
07/07/04,778163
07/14/04,775536
07/21/04,776764
07/28/04,773916
08/04/04,772085
08/11/04,769265
08/18/04,767595
08/25/04,775437
09/01/04,785273
09/08/04,788602
09/15/04,789128
09/22/04,782124
09/29/04,786330
10/06/04,781777
10/13/04,795483
10/20/04,784954
10/27/04,791336
11/03/04,790552
11/10/04,800473
11/17/04,794090
11/24/04,809956
12/01/04,807063
12/08/04,808495
12/15/04,807028
12/22/04,811333
12/29/04,810944
01/05/05,815702
01/12/05,798455
01/19/05,806960
01/26/05,807262
02/02/05,804746
02/09/05,797299
02/16/05,795606
02/23/05,804576
03/02/05,801252
03/09/05,799250
03/16/05,807211
03/23/05,797094
03/30/05,807551
04/06/05,797327
04/13/05,805707
04/20/05,801793
04/27/05,809797
05/04/05,802412
05/11/05,808378
05/18/05,801546
05/25/05,810160
06/01/05,817335
06/08/05,814172
06/15/05,811198
06/22/05,810429
06/29/05,810082
07/06/05,821556
07/13/05,808861
07/20/05,816804
07/27/05,814259
08/03/05,818841
08/10/05,808544
08/17/05,813774
08/24/05,811313
08/31/05,823237
09/07/05,822500
09/14/05,823590
09/21/05,812926
09/28/05,823771
10/05/05,817137
10/12/05,826306
10/19/05,814281
10/26/05,819105
11/02/05,814571
11/09/05,824991
11/16/05,823263
11/23/05,833124
11/30/05,835059
12/07/05,833250
12/14/05,830950
12/21/05,848317
12/28/05,847700
01/04/06,851856
01/11/06,829357
01/18/06,836042
01/25/06,828901
02/01/06,831808
02/08/06,827613
02/15/06,835240
02/22/06,840555
03/01/06,839356
03/08/06,839234
03/15/06,843010
03/22/06,838003
03/29/06,833675
04/05/06,834589
04/12/06,836862
04/19/06,836352
04/26/06,844572
05/03/06,843867
05/10/06,838405
05/17/06,838153
05/24/06,840251
05/31/06,851580
06/07/06,849074
06/14/06,845869
06/21/06,844773
06/28/06,844436
07/05/06,851659
07/12/06,844391
07/19/06,849894
07/26/06,841552
08/02/06,850263
08/09/06,840006
08/16/06,842876
08/23/06,837987
08/30/06,850925
09/06/06,848594
09/13/06,840886
09/20/06,838192
09/27/06,849971
10/04/06,842296
10/11/06,859339
10/18/06,844200
10/25/06,852648
11/01/06,855536
11/08/06,858630
11/15/06,855551
11/22/06,865126
11/29/06,856671
12/06/06,862178
12/13/06,853851
12/20/06,865010
12/27/06,869988
01/03/07,874626
01/10/07,854819
01/17/07,859363
01/24/07,851755
01/31/07,865730
02/07/07,855057
02/14/07,867199
02/21/07,869235
02/28/07,877409
03/07/07,864505
03/14/07,876108
03/21/07,863067
03/28/07,869803
04/04/07,862319
04/11/07,865441
04/18/07,861335
04/25/07,879686
05/02/07,890857
05/09/07,875270
05/16/07,859559
05/23/07,873935
05/30/07,876986
06/06/07,872706
06/13/07,864989
06/20/07,866089
06/27/07,865105
07/04/07,876611
07/11/07,869407
07/18/07,872916
07/25/07,863890
08/01/07,870261
08/08/07,865453
08/15/07,864931
08/22/07,862775
08/29/07,872873
09/05/07,871156
09/12/07,886314
09/19/07,867732
09/26/07,889900
10/03/07,869051
10/10/07,886363
10/17/07,869509
10/24/07,881395
10/31/07,883385
11/07/07,885724
11/14/07,889537
11/21/07,891028
11/28/07,879417
12/05/07,882764
12/12/07,881750
12/19/07,887983
12/26/07,890662
01/02/08,922187
01/09/08,880754
01/16/08,893581
01/23/08,877253
01/30/08,900264
02/06/08,871022
02/13/08,883005
02/20/08,878949
02/27/08,893825
03/05/08,881208
03/12/08,896565
03/19/08,888646
03/26/08,893965
04/02/08,883708
04/09/08,893029
04/16/08,881904
04/23/08,885781
04/30/08,888131
05/07/08,889228
05/14/08,880175
05/21/08,898487
05/28/08,904054
06/04/08,895939
06/11/08,890610
06/18/08,902304
06/25/08,892713
07/02/08,902962
07/09/08,898034
07/16/08,910681
07/23/08,899665
07/30/08,918625
08/06/08,901710
08/13/08,914632
08/20/08,898611
08/27/08,909982
09/03/08,905253
09/10/08,925725
09/17/08,995093
09/24/08,1211825
10/01/08,1503989
10/08/08,1591587
10/15/08,1770809
10/22/08,1802602
10/29/08,1969086
11/05/08,2074205
11/12/08,2212852
11/19/08,2187137
11/26/08,2106117
12/03/08,2136924
12/10/08,2250012
12/17/08,2254983
12/24/08,2232311
12/31/08,2239457
01/07/09,2121439
01/14/09,2049714
01/21/09,2037112
01/28/09,1927082
02/04/09,1851437
02/11/09,1843400
02/18/09,1915562
02/25/09,1916115
03/04/09,1901317
03/11/09,1899514
03/18/09,2066942
03/25/09,2071556
04/01/09,2078936
04/08/09,2088573
04/15/09,2186498
04/22/09,2196812
04/29/09,2066712
05/06/09,2079758
05/13/09,2196351
05/20/09,2181632
05/27/09,2080115
06/03/09,2077695
06/10/09,2052297
06/17/09,2072527
06/24/09,2025571
07/01/09,2005627
07/08/09,1992740
07/15/09,2072451
07/22/09,2039001
07/29/09,2000547
08/05/09,1989203
08/12/09,2014899
08/19/09,2060641
08/26/09,2074902
09/02/09,2083720
09/09/09,2087946
09/16/09,2139783
09/23/09,2158631
09/30/09,2141020
10/07/09,2138086
10/14/09,2192787
10/21/09,2201119
10/28/09,2161537
11/04/09,2165067
11/11/09,2135035
11/18/09,2208721
11/25/09,2206359
12/02/09,2204074
12/09/09,2186383
12/16/09,2235763
12/23/09,2235803
12/30/09,2234067
01/06/10,2235304
01/13/10,2291700
01/20/10,2251806
01/27/10,2246886
02/03/10,2249319
02/10/10,2256679
02/17/10,2277574
02/24/10,2286127
03/03/10,2280147
03/10/10,2282474
03/17/10,2307997
03/24/10,2313149
03/31/10,2307150
04/07/10,2307575
04/14/10,2339345
04/21/10,2337556
04/28/10,2330472
05/05/10,2326164
05/12/10,2336103
05/19/10,2350890
05/26/10,2334041
06/02/10,2336216
06/09/10,2331529
06/16/10,2344316
06/23/10,2344497
06/30/10,2330851
07/07/10,2332017
07/14/10,2340717
07/21/10,2332322
07/28/10,2325298
08/04/10,2326479
08/11/10,2327533
08/18/10,2313662
08/25/10,2301015
09/01/10,2301996
09/08/10,2305802
09/15/10,2296079
09/22/10,2307171
09/29/10,2298691
