Date,BalanceSheet_global
01/03/73,706.8656
01/10/73,700.9787
01/17/73,699.5624
01/24/73,700.8852
01/31/73,705.9002
02/07/73,703.4736
02/14/73,709.2743
02/21/73,711.7601
02/28/73,718.5449
03/07/73,717.5137
03/14/73,719.1385
03/21/73,718.9917
03/28/73,723.1221
04/04/73,721.9902
04/11/73,724.4292
04/18/73,727.7499
04/25/73,733.6156
05/02/73,733.0308
05/09/73,732.746
05/16/73,738.9639
05/23/73,739.1176
05/30/73,738.629
06/06/73,744.5508
06/13/73,744.9239
06/20/73,749.6283
06/27/73,749.2886
07/04/73,756.5501
07/11/73,753.8168
07/18/73,754.8564
07/25/73,760.6747
08/01/73,764.6927
08/08/73,762.2101
08/15/73,769.6575
08/22/73,764.27
08/29/73,761.9845
09/05/73,767.7636
09/12/73,773.8323
09/19/73,768.4948
09/26/73,773.0562
10/03/73,772.5736
10/10/73,777.569
10/17/73,771.5379
10/24/73,789.35
10/31/73,785.7965
11/07/73,789.8027
11/14/73,788.9616
11/21/73,784.3181
11/28/73,784.0833
12/05/73,793.7946
12/12/73,797.6026
12/19/73,799.3767
12/26/73,792.5541
01/02/74,808.978
01/09/74,804.8405
01/16/74,806.9773
01/23/74,806.9965
01/30/74,805.8777
02/06/74,809.4746
02/13/74,814.7525
02/20/74,816.464
02/27/74,809.6878
03/06/74,819.3573
03/13/74,820.3928
03/20/74,823.493
03/27/74,830.3764
04/03/74,832.381
04/10/74,836.6152
04/17/74,838.0239
04/24/74,835.1439
05/01/74,841.6085
05/08/74,838.0709
05/15/74,846.0942
05/22/74,842.2152
05/29/74,848.3478
06/05/74,849.9033
06/12/74,856.4264
06/19/74,850.6599
06/26/74,862.872
07/03/74,857.3557
07/10/74,859.0114
07/17/74,858.7807
07/24/74,862.1083
07/31/74,866.9695
08/07/74,866.0688
08/14/74,866.1977
08/21/74,863.01
08/28/74,867.5048
09/04/74,875.4494
09/11/74,871.3023
09/18/74,865.905
09/25/74,870.7905
10/02/74,868.2085
10/09/74,865.8794
10/16/74,879.5676
10/23/74,874.598
10/30/74,870.1742
11/06/74,877.4554
11/13/74,879.1791
11/20/74,876.6837
11/27/74,884.325
12/04/74,883.417
12/11/74,889.5363
12/18/74,885.1881
12/25/74,888.7229
01/01/75,887.2367
01/08/75,881.2233
01/15/75,880.8201
01/22/75,881.3431
01/29/75,869.783
02/05/75,880.1117
02/12/75,873.7616
02/19/75,877.8417
02/26/75,870.6366
03/05/75,886.9395
03/12/75,884.9263
03/19/75,878.4812
03/26/75,887.4696
04/02/75,886.3219
04/09/75,889.2221
04/16/75,890.9204
04/23/75,882.5488
04/30/75,889.3192
05/07/75,883.991
05/14/75,885.8908
05/21/75,886.4269
05/28/75,891.2573
06/04/75,895.1692
06/11/75,901.3328
06/18/75,897.8236
06/25/75,898.7146
07/02/75,891.6822
07/09/75,895.4646
07/16/75,894.6841
07/23/75,889.4959
07/30/75,888.3894
08/06/75,893.3122
08/13/75,893.5513
08/20/75,892.4242
08/27/75,897.4631
09/03/75,902.0494
09/10/75,899.3777
09/17/75,894.8477
09/24/75,895.6113
10/01/75,906.4436
10/08/75,901.4152
10/15/75,910.272
10/22/75,902.6977
10/29/75,898.9495
11/05/75,907.7776
11/12/75,917.871
11/19/75,902.3373
11/26/75,919.0453
12/03/75,913.6448
12/10/75,919.5432
12/17/75,916.1231
12/24/75,921.9687
12/31/75,923.977
01/07/76,920.6953
01/14/76,918.4399
01/21/76,915.7902
01/28/76,914.9813
02/04/76,921.5947
02/11/76,918.2252
02/18/76,926.4292
02/25/76,913.4307
03/03/76,926.5548
03/10/76,928.6952
03/17/76,926.0963
03/24/76,929.3946
03/31/76,927.0589
04/07/76,930.9519
04/14/76,931.9127
04/21/76,931.4947
04/28/76,924.3367
05/05/76,934.1908
05/12/76,932.7286
05/19/76,930.1696
05/26/76,930.7056
06/02/76,937.5786
06/09/76,937.8428
06/16/76,942.5707
06/23/76,940.5984
06/30/76,948.7168
07/07/76,949.2885
07/14/76,944.7965
07/21/76,942.9744
07/28/76,938.5127
