Date,Bitcoin_Wikipedia_Search
01/01/08,0
01/02/08,0
01/03/08,0
01/04/08,0
01/05/08,0
01/06/08,0
01/07/08,0
01/08/08,0
01/09/08,0
01/10/08,0
01/11/08,0
01/12/08,0
01/13/08,0
01/14/08,0
01/15/08,0
01/16/08,0
01/17/08,0
01/18/08,0
01/19/08,0
01/20/08,0
01/21/08,0
01/22/08,0
01/23/08,0
01/24/08,0
01/25/08,0
01/26/08,0
01/27/08,0
01/28/08,0
01/29/08,0
01/30/08,0
01/31/08,0
02/01/08,0
02/02/08,0
02/03/08,0
02/04/08,0
02/05/08,0
02/06/08,0
02/07/08,0
02/08/08,0
02/09/08,0
02/10/08,0
02/11/08,0
02/12/08,0
02/13/08,0
02/14/08,0
02/15/08,0
02/16/08,0
02/17/08,0
02/18/08,0
02/19/08,0
02/20/08,0
02/21/08,0
02/22/08,0
02/23/08,0
02/24/08,0
02/25/08,0
02/26/08,0
02/27/08,0
02/28/08,0
02/29/08,0
03/01/08,0
03/02/08,0
03/03/08,0
03/04/08,0
03/05/08,0
03/06/08,0
03/07/08,0
03/08/08,0
03/09/08,0
03/10/08,0
03/11/08,0
03/12/08,0
03/13/08,0
03/14/08,0
03/15/08,0
03/16/08,0
03/17/08,0
03/18/08,0
03/19/08,0
03/20/08,0
03/21/08,0
03/22/08,0
03/23/08,0
03/24/08,0
03/25/08,0
03/26/08,0
03/27/08,0
03/28/08,0
03/29/08,0
03/30/08,0
03/31/08,0
04/01/08,0
04/02/08,0
04/03/08,0
04/04/08,0
04/05/08,0
04/06/08,0
04/07/08,0
04/08/08,0
04/09/08,0
04/10/08,0
04/11/08,0
04/12/08,0
04/13/08,0
04/14/08,0
04/15/08,0
04/16/08,0
04/17/08,0
04/18/08,0
04/19/08,0
04/20/08,0
04/21/08,0
04/22/08,0
04/23/08,0
04/24/08,0
04/25/08,0
04/26/08,0
04/27/08,0
04/28/08,0
04/29/08,0
04/30/08,0
05/01/08,0
05/02/08,0
05/03/08,0
05/04/08,0
05/05/08,0
05/06/08,0
05/07/08,0
05/08/08,0
05/09/08,0
05/10/08,0
05/11/08,0
05/12/08,0
05/13/08,0
05/14/08,0
05/15/08,0
05/16/08,0
05/17/08,0
05/18/08,0
05/19/08,0
05/20/08,0
05/21/08,0
05/22/08,0
05/23/08,0
05/24/08,0
05/25/08,0
05/26/08,0
05/27/08,0
05/28/08,0
05/29/08,0
05/30/08,0
05/31/08,0
