Date,Crypto_PageViews
2015-07-01,134
2015-07-02,122
2015-07-03,103
2015-07-04,76
2015-07-05,93
2015-07-06,98
2015-07-07,101
2015-07-08,118
2015-07-09,115
2015-07-10,100
2015-07-11,63
2015-07-12,74
2015-07-13,91
2015-07-14,121
2015-07-15,80
2015-07-16,91
2015-07-17,92
2015-07-18,60
2015-07-19,65
2015-07-20,90
2015-07-21,107
2015-07-22,79
2015-07-23,91
2015-07-24,81
2015-07-25,88
2015-07-26,93
2015-07-27,116
2015-07-28,124
2015-07-29,129
2015-07-30,107
2015-07-31,139
2015-08-01,127
2015-08-02,113
2015-08-03,113
2015-08-04,109
2015-08-05,142
2015-08-06,123
2015-08-07,111
2015-08-08,85
2015-08-09,67
2015-08-10,111
2015-08-11,114
2015-08-12,103
2015-08-13,116
2015-08-14,124
2015-08-15,85
2015-08-16,102
2015-08-17,125
2015-08-18,126
2015-08-19,113
2015-08-20,212
2015-08-21,140
2015-08-22,69
2015-08-23,76
2015-08-24,93
2015-08-25,110
2015-08-26,117
2015-08-27,84
2015-08-28,101
2015-08-29,57
2015-08-30,61
2015-08-31,105
2015-09-01,109
2015-09-02,112
2015-09-03,110
2015-09-04,139
2015-09-05,110
2015-09-06,68
2015-09-07,87
2015-09-08,110
2015-09-09,117
2015-09-10,93
2015-09-11,89
2015-09-12,66
2015-09-13,65
2015-09-14,92
2015-09-15,90
2015-09-16,94
2015-09-17,132
2015-09-18,86
2015-09-19,87
2015-09-20,83
2015-09-21,93
2015-09-22,102
2015-09-23,111
2015-09-24,110
2015-09-25,94
2015-09-26,52
2015-09-27,63
2015-09-28,96
2015-09-29,102
2015-09-30,93
2015-10-01,86
2015-10-02,106
2015-10-03,57
2015-10-04,59
2015-10-05,91
2015-10-06,106
2015-10-07,87
2015-10-08,87
2015-10-09,103
2015-10-10,64
2015-10-11,64
2015-10-12,90
2015-10-13,102
2015-10-14,97
2015-10-15,101
2015-10-16,125
2015-10-17,71
2015-10-18,81
2015-10-19,115
2015-10-20,106
2015-10-21,117
2015-10-22,131
2015-10-23,82
2015-10-24,62
2015-10-25,66
2015-10-26,117
2015-10-27,94
2015-10-28,93
2015-10-29,87
2015-10-30,92
2015-10-31,79
2015-11-01,60
2015-11-02,107
2015-11-03,90
2015-11-04,131
2015-11-05,116
2015-11-06,102
2015-11-07,65
2015-11-08,77
2015-11-09,118
2015-11-10,124
2015-11-11,118
2015-11-12,115
2015-11-13,106
2015-11-14,69
2015-11-15,63
2015-11-16,112
2015-11-17,106
2015-11-18,123
2015-11-19,101
2015-11-20,102
2015-11-21,85
2015-11-22,66
2015-11-23,117
2015-11-24,110
2015-11-25,107
2015-11-26,82
2015-11-27,90
2015-11-28,74
2015-11-29,68
2015-11-30,107
2015-12-01,117
2015-12-02,100
2015-12-03,123
2015-12-04,127
2015-12-05,99
