Date,USD_OnChain_Volume,Nr_Transactions,Nr_Addresses,BTC_PageViews,Crypto_PageViews
2010-07-30,0.0,325.0,374.0,0.0,0.0
2010-08-06,0.0,3018.0,3495.0,0.0,0.0
2010-08-13,0.0,2748.0,3131.0,0.0,0.0
2010-08-20,0.0,2645.0,2886.0,0.0,0.0
2010-08-27,0.0,2483.0,2698.0,0.0,0.0
2010-09-03,8831.8405999,2389.0,2635.0,0.0,0.0
2010-09-10,8242.776,2168.0,2403.0,0.0,0.0
2010-09-17,15175.705224,2773.0,3010.0,0.0,0.0
2010-09-24,14275.692599999998,3858.0,4434.0,0.0,0.0
2010-10-01,14302.320268,3950.0,4321.0,0.0,0.0
2010-10-08,48760.0216,2766.0,3438.0,0.0,0.0
2010-10-15,50856.4669,2517.0,3109.0,0.0,0.0
2010-10-22,34288.3974,4268.0,5335.0,0.0,0.0
2010-10-29,71495.4791,3518.0,4498.0,0.0,0.0
2010-11-05,73710.71810000001,2501.0,2804.0,0.0,0.0
2010-11-12,258812.6514,2847.0,3166.0,0.0,0.0
2010-11-19,61932.8031,26296.0,9482.0,0.0,0.0
2010-11-26,77015.7778,30692.0,4296.0,0.0,0.0
2010-12-03,57248.727699999996,3163.0,3966.0,0.0,0.0
2010-12-10,57208.408840000004,3272.0,4151.0,0.0,0.0
2010-12-17,49160.9085,4127.0,5913.0,0.0,0.0
2010-12-24,77357.125053,4321.0,5816.0,0.0,0.0
2010-12-31,48265.519271,4066.0,5552.0,0.0,0.0
2011-01-07,37794.808435,6359.0,5628.0,0.0,0.0
2011-01-14,96605.537412,9023.0,8126.0,0.0,0.0
2011-01-21,91443.785706,6548.0,8574.0,0.0,0.0
2011-01-28,382697.60147899995,7638.0,9728.0,0.0,0.0
2011-02-04,194110.563317,8984.0,10944.0,0.0,0.0
2011-02-11,344929.49256,9095.0,12765.0,0.0,0.0
2011-02-18,224385.44851000002,14360.0,19916.0,0.0,0.0
2011-02-25,199382.00162,14120.0,20524.0,0.0,0.0
2011-03-04,616792.42291,15865.0,20235.0,0.0,0.0
2011-03-11,446006.72533,13824.0,20080.0,0.0,0.0
2011-03-18,523560.68732,20085.0,18086.0,0.0,0.0
2011-03-25,416339.32182,24091.0,27516.0,0.0,0.0
2011-04-01,406220.10895,16877.0,25739.0,0.0,0.0
2011-04-08,309106.98422,13313.0,22378.0,0.0,0.0
2011-04-15,393105.11857,14767.0,24577.0,0.0,0.0
2011-04-22,4097101.84612,18025.0,27661.0,0.0,0.0
2011-04-29,1320646.22407,21779.0,33953.0,0.0,0.0
2011-05-06,3052976.3023,24006.0,39705.0,0.0,0.0
2011-05-13,4751600.515699999,23967.0,41675.0,0.0,0.0
2011-05-20,11339030.644000001,32036.0,64254.0,0.0,0.0
2011-05-27,9981636.340300001,39934.0,74126.0,0.0,0.0
2011-06-03,5274990.078,43283.0,81729.0,0.0,0.0
2011-06-10,19567419.122,71368.0,131372.0,0.0,0.0
2011-06-17,41815397.794,85388.0,162580.0,0.0,0.0
2011-06-24,31168001.223,76823.0,158976.0,0.0,0.0
2011-07-01,12187407.572,72389.0,156092.0,0.0,0.0
2011-07-08,7739892.1759,63178.0,153145.0,0.0,0.0
2011-07-15,5693843.1389,60970.0,158939.0,0.0,0.0
2011-07-22,7530495.5831,61283.0,130506.0,0.0,0.0
2011-07-29,6420604.5563,56918.0,147526.0,0.0,0.0
2011-08-05,7338061.9418,54724.0,129307.0,0.0,0.0
2011-08-12,6499787.8979,53126.0,120334.0,0.0,0.0
2011-08-19,0.0,55639.0,123610.0,0.0,0.0
2011-08-26,0.0,51979.0,137438.0,0.0,0.0
2011-09-02,13932575.5725,49369.0,107264.0,0.0,0.0
2011-09-09,5004715.0043,49015.0,100183.0,0.0,0.0
2011-09-16,7851422.6811999995,44413.0,88848.0,0.0,0.0
2011-09-23,3157268.8169,46389.0,101978.0,0.0,0.0
2011-09-30,2330773.5884,40661.0,83617.0,0.0,0.0
2011-10-07,3241027.9236,40096.0,78833.0,0.0,0.0
2011-10-14,2280354.966,39715.0,76511.0,0.0,0.0
2011-10-21,2238551.0812,36189.0,71130.0,0.0,0.0
2011-10-28,2334521.6928,36949.0,72183.0,0.0,0.0
2011-11-04,2979530.0619,40319.0,74414.0,0.0,0.0
2011-11-11,2984044.1442,40174.0,75168.0,0.0,0.0
2011-11-18,19662120.7698,39051.0,73544.0,0.0,0.0
2011-11-25,34257236.729100004,36212.0,60196.0,0.0,0.0
2011-12-02,59865336.0593,41684.0,70285.0,0.0,0.0
2011-12-09,76814661.516,42774.0,70303.0,0.0,0.0
2011-12-16,5039810.0815,37083.0,62138.0,0.0,0.0
2011-12-23,4063346.599,38712.0,64405.0,0.0,0.0
2011-12-30,3112029.8086,36059.0,60698.0,0.0,0.0
2012-01-06,6274682.9614,40690.0,67420.0,0.0,0.0
2012-01-13,6774748.409,45780.0,75818.0,0.0,0.0
2012-01-20,7119270.1113,47174.0,78158.0,0.0,0.0
2012-01-27,5518259.035499999,45955.0,76215.0,0.0,0.0
2012-02-03,4961236.9716,46130.0,79753.0,0.0,0.0
2012-02-10,4915644.5715,50127.0,81893.0,0.0,0.0
2012-02-17,9438942.2662,57842.0,90033.0,0.0,0.0
2012-02-24,4463598.9141,47371.0,82470.0,0.0,0.0
2012-03-02,5399784.7769,46762.0,82229.0,0.0,0.0
2012-03-09,4185424.1099,44899.0,81880.0,0.0,0.0
2012-03-16,4942355.103399999,44243.0,79990.0,0.0,0.0
2012-03-23,4932922.3891,46144.0,82498.0,0.0,0.0
2012-03-30,4995074.7863,47457.0,82327.0,0.0,0.0
2012-04-06,5588739.5714,46836.0,81824.0,0.0,0.0
2012-04-13,7137539.4642,50451.0,76458.0,0.0,0.0
2012-04-20,7159196.1778,56363.0,96361.0,0.0,0.0
2012-04-27,6688819.536699999,53170.0,91047.0,0.0,0.0
2012-05-04,6080366.5808,72855.0,106757.0,0.0,0.0
2012-05-11,8141145.450300001,108202.0,128710.0,0.0,0.0
2012-05-18,7344654.6594,143141.0,146931.0,0.0,0.0
2012-05-25,8116177.8859,204968.0,170723.0,0.0,0.0
2012-06-01,10786365.4997,183092.0,161684.0,0.0,0.0
2012-06-08,9490969.6437,209740.0,177752.0,0.0,0.0
2012-06-15,10115428.746,298263.0,213864.0,0.0,0.0
2012-06-22,11612349.454,244817.0,196383.0,0.0,0.0
2012-06-29,11518898.234,183917.0,184438.0,0.0,0.0
2012-07-06,10064104.8693,158431.0,176576.0,0.0,0.0
2012-07-13,13041467.773,186732.0,183150.0,0.0,0.0
2012-07-20,18134493.223,216129.0,196595.0,0.0,0.0
2012-07-27,16339014.367999999,215709.0,201078.0,0.0,0.0
2012-08-03,20891264.055,237144.0,227506.0,0.0,0.0
2012-08-10,18467660.879,225781.0,224901.0,0.0,0.0
2012-08-17,22617522.498999998,291153.0,263497.0,0.0,0.0
2012-08-24,41066205.977,254332.0,259722.0,0.0,0.0
2012-08-31,23543221.43,234640.0,220477.0,0.0,0.0
2012-09-07,20168134.517,269954.0,232215.0,0.0,0.0
2012-09-14,30627748.63,227733.0,215583.0,0.0,0.0
2012-09-21,31906716.107,206790.0,210981.0,0.0,0.0
2012-09-28,25245400.584,196908.0,189474.0,0.0,0.0
2012-10-05,28705581.11,197920.0,227023.0,0.0,0.0
2012-10-12,22077466.362999998,228662.0,244081.0,0.0,0.0
2012-10-19,20971809.016000003,211201.0,223920.0,0.0,0.0
2012-10-26,30815226.089,227836.0,217247.0,0.0,0.0
2012-11-02,25065168.286000002,166908.0,169328.0,0.0,0.0
2012-11-09,21931603.527999997,206425.0,199583.0,0.0,0.0
2012-11-16,18074428.562,208649.0,196537.0,0.0,0.0
2012-11-23,22555610.735,242768.0,237478.0,0.0,0.0
2012-11-30,21976757.712,234421.0,212616.0,0.0,0.0
2012-12-07,28249559.804,211165.0,193153.0,0.0,0.0
2012-12-14,30910770.618,256498.0,212023.0,0.0,0.0
2012-12-21,21935685.687,283960.0,200438.0,0.0,0.0
2012-12-28,19989541.431,280328.0,212729.0,0.0,0.0
